epoch,cost,train,test,epoch_time,total_time
0,3.2745821475982666,0.26816,0.2669,1.2563529014587402,1.2563610076904297
1,2.341646671295166,0.36012,0.3558,0.4560513496398926,2.017219305038452
2,1.8004803657531738,0.57582,0.5832,0.5808818340301514,2.9310383796691895
3,1.3807910084724426,0.66214,0.675,0.43308401107788086,3.6706838607788086
4,1.1600303649902344,0.7076,0.7185,0.43746209144592285,4.406247615814209
5,1.0268594622612,0.72826,0.7412,0.4492943286895752,5.177140474319458
6,0.9274746179580688,0.73772,0.7459,0.3860628604888916,5.845920085906982
7,0.8748841881752014,0.74424,0.754,0.3986318111419678,6.5298402309417725
8,0.823635995388031,0.73696,0.7444,0.39879536628723145,7.218564987182617
9,0.8309307396411896,0.75796,0.7668,0.38913798332214355,7.906177282333374
10,0.7608006596565247,0.75354,0.7623,0.388594388961792,8.586256265640259
11,0.7548869848251343,0.78644,0.7955,0.41237664222717285,9.268406391143799
12,0.684472918510437,0.78836,0.7977,0.41411519050598145,9.995831966400146
13,0.6543110907077789,0.81526,0.826,0.405836820602417,10.701317548751831
14,0.6086150705814362,0.821,0.8273,0.40682387351989746,11.398325681686401
15,0.5794306695461273,0.83872,0.8488,0.4073953628540039,12.080545425415039
16,0.5493326783180237,0.84226,0.8492,0.3977508544921875,12.759825229644775
17,0.5266851186752319,0.85368,0.8623,0.4043116569519043,13.455199956893921
18,0.5058560371398926,0.85606,0.8639,0.4932241439819336,14.309924840927124
19,0.4887981116771698,0.86422,0.8727,0.38235950469970703,14.968796014785767
20,0.4734172374010086,0.86574,0.8765,0.401416540145874,15.642875909805298
21,0.4601605534553528,0.87146,0.8803,0.39697694778442383,16.318625450134277
22,0.44816385209560394,0.87272,0.8836,0.4022986888885498,17.014981985092163
23,0.43747152388095856,0.87718,0.8858,0.4016530513763428,17.72072982788086
24,0.4276861548423767,0.87808,0.8887,0.3871011734008789,18.39031457901001
25,0.41878676414489746,0.88228,0.8903,0.39464688301086426,19.07939600944519
26,0.41058774292469025,0.8827,0.8927,0.43841052055358887,19.80953097343445
27,0.40301652252674103,0.88598,0.894,0.3847782611846924,20.482571125030518
28,0.39597825706005096,0.887,0.8957,0.5038919448852539,21.30445957183838
29,0.38942520320415497,0.8895,0.8968,0.39786410331726074,21.98127293586731
30,0.38326993584632874,0.89044,0.8974,0.38541722297668457,22.652466535568237
31,0.37749555706977844,0.89258,0.8999,0.3929462432861328,23.318114519119263
32,0.37205103039741516,0.89366,0.8992,0.4166231155395508,24.049020767211914
33,0.3669237792491913,0.89512,0.9018,0.4004852771759033,24.74544405937195
34,0.3620477467775345,0.89618,0.9011,0.4027681350708008,25.412150382995605
35,0.35743339359760284,0.89762,0.9038,0.39805126190185547,26.09010601043701
36,0.35303647816181183,0.89888,0.9038,0.39341068267822266,26.754176378250122
37,0.3488568961620331,0.8997,0.9058,0.4023172855377197,27.42407464981079
38,0.34485840797424316,0.90112,0.9063,0.3983912467956543,28.101906538009644
39,0.3410372883081436,0.90168,0.9074,0.39021992683410645,28.787538051605225
40,0.33737143874168396,0.90322,0.9083,0.3979802131652832,29.4558846950531
41,0.3338579088449478,0.9033,0.9092,0.4056124687194824,30.132959842681885
42,0.3304733783006668,0.90472,0.9098,0.4258718490600586,30.861462593078613
43,0.32721810042858124,0.90494,0.9099,0.3967862129211426,31.556482553482056
44,0.32407771050930023,0.90626,0.9114,0.41367602348327637,32.23418641090393
45,0.3210490792989731,0.90718,0.9117,0.3941481113433838,32.90372395515442
46,0.31812119483947754,0.90792,0.9127,0.40325379371643066,33.57804989814758
47,0.31529198586940765,0.90852,0.9134,0.39940333366394043,34.281208515167236
48,0.3125527650117874,0.90932,0.9143,0.4015507698059082,34.9734411239624
49,0.30990131199359894,0.9101,0.9153,0.394489049911499,35.655163526535034
50,0.3073244243860245,0.91072,0.9158,0.39154624938964844,36.330782413482666
51,0.3048216700553894,0.91164,0.9161,0.39037322998046875,36.99685001373291
52,0.3023894280195236,0.91212,0.9168,0.41594743728637695,37.700252294540405
53,0.3000270575284958,0.91278,0.9171,0.3986022472381592,38.39546537399292
54,0.2977290600538254,0.91348,0.9182,0.3939323425292969,39.084325075149536
55,0.29549041390419006,0.9141,0.9186,0.3932619094848633,39.752971172332764
56,0.2933076471090317,0.91504,0.9191,0.3979008197784424,40.42539978027344
57,0.2911793291568756,0.91546,0.9192,0.39345574378967285,41.098657846450806
58,0.28910280764102936,0.9164,0.9196,0.398730993270874,41.77110815048218
59,0.2870761454105377,0.9169,0.92,0.3964853286743164,42.4414279460907
60,0.28509899973869324,0.91726,0.9206,0.4141390323638916,43.1303551197052
61,0.28316767513751984,0.91814,0.921,0.3956758975982666,43.80078196525574
62,0.28127966821193695,0.91858,0.9215,0.40651583671569824,44.497414112091064
63,0.27943427860736847,0.91914,0.9218,0.4296708106994629,45.224921464920044
64,0.2776293605566025,0.91978,0.9223,0.4383506774902344,45.94162559509277
